customer_id,signup_date,acquisition_channel,country,region,age_group
1,2025-04-13,Paid Search,AT,,45-54
2,2025-01-21,Paid Search,DE,BW,35-44
3,2025-04-10,Paid Search,DE,BW,55+
4,2025-10-21,Organic,DE,HH,35-44
5,2025-09-10,Organic,DE,NRW,25-34
6,2025-07-07,Paid Social,DE,BW,55+
7,2025-05-11,Referral,CH,,35-44
8,2025-10-01,Direct,NL,,45-54
9,2025-09-22,Referral,DE,BY,35-44
10,2025-09-21,Paid Social,DE,NRW,35-44
11,2025-01-02,Organic,DE,BE,25-34
12,2025-07-10,Organic,CH,,25-34
13,2025-09-27,Paid Social,AT,,35-44
14,2025-09-09,Email,DE,SH,45-54
15,2025-02-22,Paid Social,DE,SN,35-44
16,2025-02-10,Paid Search,DE,NRW,25-34
17,2025-05-09,Paid Search,DE,SH,25-34
18,2025-06-12,Organic,AT,,55+
19,2025-02-10,Email,NL,,35-44
20,2025-02-02,Organic,DE,NI,35-44
21,2025-06-21,Organic,DE,RP,25-34
22,2025-05-11,Organic,AT,,45-54
23,2025-10-10,Paid Search,DE,ST,18-24
24,2025-03-04,Organic,CH,,35-44
25,2025-08-10,Organic,DE,NI,45-54
26,2025-02-05,Organic,NL,,35-44
27,2025-10-11,Email,NL,,35-44
28,2025-05-14,Direct,DE,HE,35-44
29,2025-08-19,Paid Social,NL,,35-44
30,2025-05-01,Email,CH,,18-24
31,2025-05-17,Paid Search,DE,NRW,25-34
32,2025-11-11,Referral,DE,SH,25-34
33,2025-02-21,Organic,DE,NI,25-34
34,2025-04-23,Paid Social,NL,,55+
35,2025-08-08,Paid Social,DE,HH,35-44
36,2025-05-06,Direct,DE,ST,25-34
37,2025-07-22,Referral,DE,NRW,25-34
38,2025-04-08,Email,DE,RP,45-54
39,2025-07-20,Referral,DE,BE,45-54
40,2025-09-09,Referral,DE,BW,45-54
41,2025-05-28,Direct,DE,HE,25-34
42,2025-02-08,Paid Search,NL,,25-34
43,2025-05-31,Paid Social,DE,ST,35-44
44,2025-04-22,Paid Social,DE,NRW,18-24
45,2025-05-20,Paid Search,DE,RP,25-34
46,2025-05-27,Direct,AT,,45-54
47,2025-04-30,Email,CH,,55+
48,2025-04-14,Paid Social,DE,BW,55+
49,2025-06-02,Organic,DE,BY,35-44
50,2025-06-18,Paid Social,DE,HE,25-34
51,2025-05-15,Paid Social,AT,,35-44
52,2025-01-22,Direct,DE,BE,35-44
53,2025-09-21,Paid Social,DE,BY,35-44
54,2025-11-13,Paid Search,DE,HE,35-44
55,2025-01-17,Organic,NL,,25-34
56,2025-01-06,Direct,DE,SN,25-34
57,2025-10-29,Direct,NL,,45-54
58,2025-07-10,Paid Social,DE,NI,35-44
59,2025-01-18,Referral,DE,BE,35-44
60,2025-10-07,Paid Social,DE,BE,25-34
61,2025-09-30,Paid Search,CH,,35-44
62,2025-02-08,Organic,DE,NI,25-34
63,2025-01-13,Organic,DE,NI,45-54
64,2025-09-21,Email,AT,,45-54
65,2025-05-23,Organic,DE,BY,35-44
66,2025-02-20,Organic,DE,BE,18-24
67,2025-06-29,Organic,DE,BE,25-34
68,2025-09-21,Paid Search,AT,,35-44
69,2025-07-15,Paid Search,CH,,25-34
70,2025-11-07,Organic,DE,BY,25-34
71,2025-05-25,Organic,DE,BW,18-24
72,2025-08-17,Organic,DE,NI,35-44
73,2025-05-09,Organic,DE,NRW,25-34
74,2025-04-28,Organic,AT,,25-34
75,2025-09-29,Organic,DE,HH,25-34
76,2025-03-17,Referral,DE,BW,18-24
77,2025-08-08,Paid Social,DE,NRW,55+
78,2025-07-23,Organic,DE,ST,35-44
79,2025-10-16,Paid Social,DE,HH,35-44
80,2025-04-10,Organic,DE,ST,35-44
81,2025-09-14,Organic,DE,HE,55+
82,2025-09-15,Email,DE,RP,35-44
83,2025-06-12,Email,DE,NRW,45-54
84,2025-09-25,Organic,DE,NRW,25-34
85,2025-10-12,Paid Search,DE,BY,35-44
86,2025-08-03,Paid Social,DE,SH,35-44
87,2025-04-25,Referral,DE,HE,25-34
88,2025-03-16,Referral,CH,,45-54
89,2025-09-06,Referral,DE,HH,45-54
90,2025-06-26,Paid Search,AT,,25-34
91,2025-04-06,Paid Social,DE,HH,35-44
92,2025-10-06,Paid Search,AT,,55+
93,2025-03-03,Paid Social,DE,SN,45-54
94,2025-06-26,Email,DE,SN,25-34
95,2025-10-11,Direct,NL,,35-44
96,2025-05-24,Organic,DE,BW,35-44
97,2025-02-22,Email,AT,,18-24
98,2025-02-11,Direct,NL,,18-24
99,2025-06-12,Paid Social,CH,,18-24
100,2025-03-17,Organic,DE,ST,18-24
101,2025-01-07,Paid Search,DE,SH,45-54
102,2025-05-02,Paid Social,DE,HH,35-44
103,2025-05-25,Direct,NL,,45-54
104,2025-03-11,Organic,AT,,25-34
105,2025-06-16,Paid Social,DE,ST,25-34
106,2025-06-22,Referral,DE,ST,45-54
107,2025-01-01,Paid Social,DE,SN,25-34
108,2025-11-08,Direct,DE,HH,18-24
109,2025-06-09,Paid Search,DE,HH,55+
110,2025-09-09,Referral,DE,BW,18-24
111,2025-02-16,Organic,DE,NRW,35-44
112,2025-05-24,Direct,AT,,55+
113,2025-09-29,Organic,CH,,35-44
114,2025-01-08,Organic,DE,HE,25-34
115,2025-06-27,Direct,DE,HH,55+
116,2025-05-25,Email,DE,HH,35-44
117,2025-02-15,Direct,DE,BE,45-54
118,2025-10-30,Paid Search,NL,,45-54
119,2025-09-08,Organic,DE,NI,45-54
120,2025-05-26,Paid Search,NL,,35-44
121,2025-03-04,Email,DE,RP,45-54
122,2025-04-08,Paid Search,DE,NRW,18-24
123,2025-07-16,Direct,NL,,35-44
124,2025-02-22,Email,NL,,25-34
125,2025-03-19,Direct,DE,NRW,35-44
126,2025-10-15,Paid Search,DE,SH,35-44
127,2025-04-28,Paid Social,CH,,45-54
128,2025-08-24,Organic,DE,RP,25-34
129,2025-10-30,Organic,DE,HH,35-44
130,2025-04-13,Paid Social,DE,BY,35-44
131,2025-10-13,Direct,DE,BW,25-34
132,2025-06-15,Organic,DE,NI,35-44
133,2025-10-12,Email,DE,SH,45-54
134,2025-03-10,Organic,NL,,25-34
135,2025-08-23,Paid Search,DE,RP,25-34
136,2025-07-02,Paid Search,DE,RP,35-44
137,2025-07-03,Organic,DE,BW,55+
138,2025-03-02,Email,DE,BW,25-34
139,2025-06-19,Organic,DE,HH,35-44
140,2025-01-12,Paid Search,DE,BY,25-34
141,2025-03-14,Referral,DE,SN,35-44
142,2025-04-17,Paid Search,NL,,25-34
143,2025-09-14,Paid Search,DE,BW,25-34
144,2025-05-07,Paid Social,NL,,45-54
145,2025-03-19,Paid Search,DE,ST,25-34
146,2025-01-07,Organic,DE,NI,35-44
147,2025-10-01,Paid Social,DE,BW,18-24
148,2025-04-29,Organic,DE,ST,45-54
149,2025-03-27,Direct,DE,SN,35-44
150,2025-03-09,Organic,DE,SN,18-24
151,2025-04-21,Organic,AT,,35-44
152,2025-08-24,Paid Social,DE,SN,45-54
153,2025-08-14,Direct,DE,RP,35-44
154,2025-10-16,Paid Search,DE,HH,25-34
155,2025-01-04,Paid Search,CH,,45-54
156,2025-06-01,Paid Search,CH,,35-44
157,2025-02-09,Paid Search,DE,SH,25-34
158,2025-08-08,Paid Search,NL,,55+
159,2025-04-04,Email,DE,BW,35-44
160,2025-07-22,Email,DE,BW,25-34
161,2025-04-28,Paid Search,AT,,45-54
162,2025-05-20,Email,DE,ST,18-24
163,2025-05-19,Paid Social,NL,,35-44
164,2025-06-27,Paid Search,DE,HH,55+
165,2025-01-13,Paid Social,DE,HE,35-44
166,2025-09-30,Organic,DE,SH,45-54
167,2025-04-05,Email,NL,,55+
168,2025-05-17,Paid Search,DE,BW,45-54
169,2025-03-01,Paid Search,CH,,45-54
170,2025-09-27,Email,AT,,25-34
171,2025-03-19,Paid Social,DE,HE,35-44
172,2025-10-23,Paid Social,DE,SH,35-44
173,2025-01-23,Paid Social,DE,NRW,45-54
174,2025-11-05,Organic,NL,,18-24
175,2025-05-14,Paid Social,DE,BW,25-34
176,2025-01-15,Organic,CH,,45-54
177,2025-06-06,Referral,DE,NRW,45-54
178,2025-10-16,Referral,DE,BE,35-44
179,2025-04-28,Paid Search,CH,,45-54
180,2025-08-04,Paid Search,DE,SH,25-34
181,2025-06-22,Organic,AT,,35-44
182,2025-10-19,Organic,AT,,45-54
183,2025-09-11,Organic,NL,,25-34
184,2025-10-30,Paid Search,DE,RP,35-44
185,2025-07-29,Email,DE,SH,55+
186,2025-05-13,Referral,NL,,25-34
187,2025-04-02,Organic,DE,SN,45-54
