date,channel,campaign,spend,clicks,impressions
2025-10-01,Paid Search,Paid Search Q4 Push,1084.87,639,6390
2025-10-01,Paid Social,Paid Social Q4 Push,826.0,627,6270
2025-10-01,Display,Display Q4 Push,381.49,173,1730
2025-10-01,Affiliate,Affiliate Q4 Push,272.14,298,2980
2025-10-01,Email,Email Q4 Push,157.97,159,2226
2025-10-01,Organic,Organic Q4 Push,0.0,101,1212
2025-10-02,Paid Search,Paid Search Q4 Push,1012.91,623,7476
2025-10-02,Paid Social,Paid Social Q4 Push,919.11,597,6567
2025-10-02,Display,Display Q4 Push,460.58,216,2592
2025-10-02,Affiliate,Affiliate Q4 Push,355.19,343,3430
2025-10-02,Email,Email Q4 Push,132.43,220,3080
2025-10-02,Organic,Organic Q4 Push,0.0,178,2314
2025-10-03,Paid Search,Paid Search Q4 Push,1432.04,994,9940
2025-10-03,Paid Social,Paid Social Q4 Push,859.93,529,6877
2025-10-03,Display,Display Q4 Push,264.56,170,2040
2025-10-03,Affiliate,Affiliate Q4 Push,245.62,188,1880
2025-10-03,Email,Email Q4 Push,178.44,169,2366
2025-10-03,Organic,Organic Q4 Push,0.0,106,1060
2025-10-04,Paid Search,Paid Search Q4 Push,1220.84,827,8270
2025-10-04,Paid Social,Paid Social Q4 Push,669.36,614,8596
2025-10-04,Display,Display Q4 Push,363.6,336,4704
2025-10-04,Affiliate,Affiliate Q4 Push,245.54,249,3486
2025-10-04,Email,Email Q4 Push,202.26,48,480
2025-10-04,Organic,Organic Q4 Push,0.0,169,1859
2025-10-05,Paid Search,Paid Search Q4 Push,1278.66,843,8430
2025-10-05,Paid Social,Paid Social Q4 Push,703.19,464,4640
2025-10-05,Display,Display Q4 Push,387.06,371,4452
2025-10-05,Affiliate,Affiliate Q4 Push,322.48,268,2680
2025-10-05,Email,Email Q4 Push,180.08,85,935
2025-10-05,Organic,Organic Q4 Push,0.0,201,2010
2025-10-06,Paid Search,Paid Search Q4 Push,949.66,650,9100
2025-10-06,Paid Social,Paid Social Q4 Push,821.95,436,5668
2025-10-06,Display,Display Q4 Push,371.59,172,1720
2025-10-06,Affiliate,Affiliate Q4 Push,344.8,184,2208
2025-10-06,Email,Email Q4 Push,181.12,79,790
2025-10-06,Organic,Organic Q4 Push,0.0,230,2300
2025-10-07,Paid Search,Paid Search Q4 Push,1417.8,961,11532
2025-10-07,Paid Social,Paid Social Q4 Push,794.99,429,5148
2025-10-07,Display,Display Q4 Push,471.89,297,4158
2025-10-07,Affiliate,Affiliate Q4 Push,369.4,402,4020
2025-10-07,Email,Email Q4 Push,139.08,26,338
2025-10-07,Organic,Organic Q4 Push,0.0,70,700
2025-10-08,Paid Search,Paid Search Q4 Push,1418.69,952,9520
2025-10-08,Paid Social,Paid Social Q4 Push,830.81,440,4400
2025-10-08,Display,Display Q4 Push,311.36,241,3374
2025-10-08,Affiliate,Affiliate Q4 Push,303.48,56,672
2025-10-08,Email,Email Q4 Push,156.16,68,884
2025-10-08,Organic,Organic Q4 Push,0.0,115,1610
2025-10-09,Paid Search,Paid Search Q4 Push,1222.6,804,8844
2025-10-09,Paid Social,Paid Social Q4 Push,715.82,422,4220
2025-10-09,Display,Display Q4 Push,378.23,160,2240
2025-10-09,Affiliate,Affiliate Q4 Push,388.13,218,2180
2025-10-09,Email,Email Q4 Push,189.58,99,990
2025-10-09,Organic,Organic Q4 Push,0.0,122,1464
2025-10-10,Paid Search,Paid Search Q4 Push,1236.36,849,11886
2025-10-10,Paid Social,Paid Social Q4 Push,737.97,492,4920
2025-10-10,Display,Display Q4 Push,516.77,382,4966
2025-10-10,Affiliate,Affiliate Q4 Push,272.55,246,2706
2025-10-10,Email,Email Q4 Push,159.19,85,850
2025-10-10,Organic,Organic Q4 Push,0.0,204,2652
2025-10-11,Paid Search,Paid Search Q4 Push,1007.78,673,6730
2025-10-11,Paid Social,Paid Social Q4 Push,946.16,692,6920
