order_item_id,order_id,product_id,quantity,unit_price,discount_rate,net_price,tax_amount
1,1,47,1,92.8,0,1000000,17.63
2,2,21,2,59.07,0.15,1000000,9.54
3,2,13,3,274.37,0,1000000,52.13
4,2,50,3,40.62,0.05,1000000,7.33
5,2,5,1,69.32,0,1000000,13.17
6,3,1,2,29.81,0,1000000,5.66
7,4,3,1,256.22,0.15,1000000,41.38
8,5,12,3,117.6,0,1000000,22.34
9,5,10,2,181.09,0.15,1000000,29.25
10,5,34,2,127.87,0,1000000,24.3
11,6,30,2,126.86,0.05,1000000,22.9
12,6,2,1,121.9,0.1,1000000,20.84
13,7,48,1,262.16,0.05,1000000,47.32
14,7,50,2,40.62,0.15,1000000,6.56
15,7,13,1,274.37,0,1000000,52.13
16,7,15,3,153.33,0.15,1000000,24.76
17,8,11,1,201.72,0,201.72,38.33
18,8,43,1,36.94,0,36.94,7.02
19,8,20,2,50.72,0,50.72,9.64
20,9,30,2,126.86,0,126.86,24.1
21,9,9,3,354.68,0,354.68,67.39
22,10,4,2,265.52,0,265.52,50.45
23,10,6,3,41.49,0.1,37.34,7.09
24,10,14,3,63.95,0,63.95,12.15
25,11,29,2,146.18,0,146.18,27.77
26,11,11,3,201.72,0,201.72,38.33
27,12,22,2,98.04,0,98.04,18.63
28,12,25,1,172.85,0.05,164.21,31.2
29,12,19,3,97.08,0.1,87.37,16.6
30,12,31,1,289.26,0,289.26,54.96
31,13,16,1,259.09,0,259.09,49.23
32,13,9,1,354.68,0.1,319.21,60.65
33,14,21,3,59.07,0,59.07,11.22
34,14,32,2,336.95,0.15,286.41,54.42
35,14,34,2,127.87,0,127.87,24.3
36,15,37,2,216.96,0.05,206.11,39.16
37,15,41,3,235.54,0.15,200.21,38.04
38,15,1,2,29.81,0,29.81,5.66
39,15,41,2,235.54,0.15,200.21,38.04
40,16,45,2,13.78,0,13.78,2.62
41,16,17,1,10.87,0,10.87,2.07
42,16,16,3,259.09,0.1,233.18,44.3
43,16,35,2,215.43,0.05,204.66,38.89
44,17,14,2,63.95,0,63.95,12.15
45,17,34,2,127.87,0,127.87,24.3
46,17,49,2,56.04,0.15,47.63,9.05
47,18,19,3,97.08,0,97.08,18.45
48,19,44,1,24.71,0.15,21,3.99
49,19,22,3,98.04,0,98.04,18.63
50,19,17,2,10.87,0.15,9.24,1.76
51,20,12,1,117.6,0,117.6,22.34
52,21,35,3,215.43,0.05,204.66,38.89
53,21,47,2,92.8,0.15,78.88,14.99
54,21,46,3,220.18,0.1,198.16,37.65
55,21,11,3,201.72,0.1,181.55,34.49
56,22,9,1,354.68,0.1,319.21,60.65
57,23,26,3,222.88,0.05,211.74,40.23
58,23,38,2,298.74,0,298.74,56.76
59,23,42,3,175.78,0,175.78,33.4
60,23,13,1,274.37,0.1,246.93,46.92
61,24,28,2,118.13,0.15,100.41,19.08
62,24,2,2,121.9,0.1,109.71,20.84
63,25,9,2,354.68,0.1,319.21,60.65
64,25,33,3,112.87,0,112.87,21.45
65,26,24,2,132.3,0.15,112.46,21.37
66,27,47,2,92.8,0,92.8,17.63
67,28,43,2,36.94,0,36.94,7.02
68,28,8,1,27.12,0,27.12,5.15
69,28,3,3,256.22,0.15,217.79,41.38
70,28,12,3,117.6,0,117.6,22.34
71,29,33,3,112.87,0,112.87,21.45
72,29,30,3,126.86,0.05,120.52,22.9
73,29,12,2,117.6,0.15,99.96,18.99
74,30,33,2,112.87,0.05,107.23,20.37
75,30,45,2,13.78,0.15,11.71,2.22
76,31,38,1,298.74,0.15,253.93,48.25
77,31,46,1,220.18,0.05,209.17,39.74
78,31,44,2,24.71,0,24.71,4.69
79,31,11,3,201.72,0,201.72,38.33
80,32,20,1,50.72,0.15,43.11,8.19
81,32,33,1,112.87,0,112.87,21.45
82,33,23,1,302.23,0.1,272.01,51.68
83,34,8,2,27.12,0.1,24.41,4.64
84,35,15,2,153.33,0.15,130.33,24.76
85,35,1,2,29.81,0.05,28.32,5.38
86,35,22,2,98.04,0,98.04,18.63
87,35,3,2,256.22,0,256.22,48.68
88,36,49,3,56.04,0,56.04,10.65
89,36,39,3,161.3,0,161.3,30.65
90,37,11,3,201.72,0,201.72,38.33
91,37,49,1,56.04,0.1,50.44,9.58
92,37,5,3,69.32,0,69.32,13.17
93,38,37,1,216.96,0,216.96,41.22
94,38,12,1,117.6,0,117.6,22.34
95,38,30,1,126.86,0,126.86,24.1
96,39,23,3,302.23,0.1,272.01,51.68
97,39,23,1,302.23,0.1,272.01,51.68
98,40,27,1,135.04,0,135.04,25.66
99,40,17,3,10.87,0,10.87,2.07
100,40,38,1,298.74,0.1,268.87,51.09
101,40,36,3,280.29,0.1,252.26,47.93
102,41,43,1,36.94,0.05,35.09,6.67
103,41,44,3,24.71,0,24.71,4.69
104,41,46,2,220.18,0.05,209.17,39.74
105,42,41,2,235.54,0,235.54,44.75
106,42,45,2,13.78,0.05,13.09,2.49
107,42,44,1,24.71,0.05,23.47,4.46
108,42,11,1,201.72,0.05,191.63,36.41
109,43,25,3,172.85,0,172.85,32.84
110,44,50,3,40.62,0.05,38.59,7.33
111,44,25,1,172.85,0.15,146.92,27.91
112,45,17,1,10.87,0,10.87,2.07
113,46,5,3,69.32,0,69.32,13.17
114,46,5,2,69.32,0.15,58.92,11.19
115,46,41,2,235.54,0,235.54,44.75
116,46,35,2,215.43,0.15,183.12,34.79
117,47,1,2,29.81,0,29.81,5.66
118,47,26,3,222.88,0,222.88,42.35
119,48,44,1,24.71,0,24.71,4.69
120,48,16,2,259.09,0,259.09,49.23
121,48,14,3,63.95,0,63.95,12.15
122,49,23,3,302.23,0.05,287.12,54.55
123,49,49,2,56.04,0.1,50.44,9.58
124,49,8,2,27.12,0.1,24.41,4.64
125,50,4,3,265.52,0,265.52,50.45
126,51,26,1,222.88,0.05,211.74,40.23
127,52,13,1,274.37,0,274.37,52.13
128,52,2,3,121.9,0.15,103.62,19.69
129,52,19,3,97.08,0,97.08,18.45
130,53,27,1,135.04,0.05,128.29,24.38
131,54,28,2,118.13,0.1,106.32,20.2
132,54,1,2,29.81,0.1,26.83,5.1
133,54,17,2,10.87,0.15,9.24,1.76
134,54,31,3,289.26,0,289.26,54.96
135,55,40,1,142.97,0.15,121.52,23.09
136,55,12,3,117.6,0,117.6,22.34
137,56,20,3,50.72,0,50.72,9.64
138,56,15,1,153.33,0,153.33,29.13
139,57,48,2,262.16,0.1,235.94,44.83
140,57,39,3,161.3,0,161.3,30.65
141,58,43,1,36.94,0.05,35.09,6.67
142,58,15,1,153.33,0.05,145.66,27.68
143,59,47,1,92.8,0.05,88.16,16.75
144,59,9,3,354.68,0.1,319.21,60.65
145,59,39,1,161.3,0.05,153.24,29.12
146,59,42,2,175.78,0,175.78,33.4
147,60,26,1,222.88,0.15,189.45,36
148,60,30,1,126.86,0,126.86,24.1
149,61,50,2,40.62,0,40.62,7.72
150,61,43,2,36.94,0.15,31.4,5.97
151,62,39,2,161.3,0,161.3,30.65
152,62,23,3,302.23,0,302.23,57.42
153,63,9,3,354.68,0,354.68,67.39
154,64,3,3,256.22,0,256.22,48.68
155,65,31,2,289.26,0,289.26,54.96
156,66,15,2,153.33,0.1,138,26.22
157,66,32,1,336.95,0,336.95,64.02
158,66,6,3,41.49,0,41.49,7.88
159,67,31,2,289.26,0,289.26,54.96
160,67,21,3,59.07,0.15,50.21,9.54
161,67,34,3,127.87,0.15,108.69,20.65
162,67,15,1,153.33,0.1,138,26.22
163,68,34,1,127.87,0,127.87,24.3
164,68,38,1,298.74,0,298.74,56.76
165,68,26,1,222.88,0,222.88,42.35
166,68,18,2,124.81,0.15,106.09,20.16
167,69,24,3,132.3,0,132.3,25.14
168,69,13,1,274.37,0,274.37,52.13
169,69,43,2,36.94,0,36.94,7.02
170,69,12,2,117.6,0.1,105.84,20.11
171,70,46,2,220.18,0.1,198.16,37.65
172,70,18,1,124.81,0.05,118.57,22.53
173,70,44,1,24.71,0.1,22.24,4.23
174,70,36,3,280.29,0.1,252.26,47.93
175,71,10,3,181.09,0,181.09,34.41
176,71,25,1,172.85,0,172.85,32.84
177,71,31,1,289.26,0.15,245.87,46.72
178,71,3,2,256.22,0,256.22,48.68
